id,name,colors,Category,ImageURL,Description,price,link
DH8229-001,Nike Air Force 1 Low x UNDEFEATED,Black/WhiteStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/90b11864-9cc4-4ede-a787-f50eadb7b1cb/air-force-1-low-undefeated-shoes.png","Travel first class without reservations in the Pegasus 83. With a splash of running history, a dash of retro style and a whole lot of comfort, meet your new go-to shoes. Era-echoing suedes and durable textile keep it easy to wear, while plush padding around the ankle keeps it feeling like your favourite armchair. You don't need a plane to take you places—just lace up and arrive looking fresh.",13 995,https://www.nike.com/in/launch/r/DV5255-400
DQ7670-200,Nike Dunk High Retro,Oxen Brown/Elemental Gold/Gum Dark Brown/Pearl WhiteStyle,Men's Shoe,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/716c7e6e-11a1-4b09-a456-fa7b67423034/dunk-high-retro-shoe-DdRmMZ.png","Your tried-and-tested goes artisan. Certifying your style 100% Swoosh, its premium labelling and rich, textured leather bring a hand-crafted quality. The cork-infused outsole and contrast stitching around the Swoosh further prove you're a connoisseur of all things tasteful. So lace up and enjoy the finer things in life.",9 295,https://www.nike.com/in/t/dunk-high-retro-shoe-DdRmMZ/DD1399-700
DZ6755-100,Nike SB Force 58,White/Metallic Gold/Flat Silver/Metallic SilverStyle,Skate Shoe,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bb9550a3-bc9b-4e79-8665-c94791036524/sb-force-58-skate-shoe-HNFTvl.png","Got your fave colour yet? No worries. The ""Colour of the Month"" series lets you feed your need while celebrating a little-known piece of Nike history—the original Colour of the Month series, back in 1984, may have saved the Air Force 1 from extinction. That's right, a reissue was uncertain in the shoe's beginning, but sports shops in Baltimore saw them selling like hot cakes and knew the AF-1 would become synonymous with street fashion and culture. So, they asked for custom colourways to sell from their shop fronts…and the rest is history. From pristine materials to this crisp colourway (and even a shoe-cleaning brush), this edition delivers a lesson in coveted off-court style. Every time you rock 'em, be sure to think of the visionary shopkeepers in Baltimore that made it all happen.",5 995,https://www.nike.com/in/t/sb-force-58-skate-shoe-HNFTvl/CZ2959-007
DQ3827-900,Nike Zoom Mercurial Vapor 15 Elite FG,Multi-Colour/Multi-ColourStyle,Firm-Ground Football Boot,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5748e88e-3e4b-4913-a2eb-c1e994d01ffe/zoom-mercurial-vapor-15-elite-fg-football-boot-7CBHC3.png","Nearly 2 decades into a career that's exceeded every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It's unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today's frenzied style of play.",21 995,https://www.nike.com/in/t/zoom-mercurial-vapor-15-elite-fg-football-boot-7CBHC3/DR5934-810
DQ3955-600,Air Jordan 7 Retro,Team Red/Anthracite/Summit White/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f00e0c1d-9500-4063-843d-01f3f40ec1c7/air-jordan-7-retro-shoes-xbNFP8.png","The Nike Air Max 97 is the shoe that will have you walking on Air—literally! This icon was the first to showcase Nike Air cushioning underfoot from heel to toe. Plus, it rocks the wavy, water ripple-inspired lines that make the 97 a forever classic.",18 395,https://www.nike.com/in/t/air-jordan-7-retro-shoes-xbNFP8/CU9307-106
CW3203-003,Nike Tiempo Legend 9 Academy TF,Black/Smoke Grey/SeafoamStyle,Turf Football Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d3fa9eac-139c-4e65-96ad-15561a968ea2/tiempo-legend-9-academy-tf-football-shoes-QjBvkp.png","Breathe in. Breathe out. The ISPA Sense is your ticket to tranquillity. Mixing sustainable materials (it's made from at least 20% recycled content by weight) with meditative comfort, the design pulls inspiration from Zen gardens. The stretchy, bootie-like upper with an airy Flyknit design integrates venting and padding for extra on-foot bliss. Tie it all together with the sleek lacing system and then stay upright with added traction on the outsole. Do good, look good, and overcome the urban environment's most challenging obstacles with this fresh design that gives new meaning to rest and relaxation.",6 995,https://www.nike.com/in/t/tiempo-legend-9-academy-tf-football-shoes-QjBvkp/DR5985-510
DQ3827-900,Nike Air Force 1 High By You,Multi-Colour/Multi-ColourStyle,Men's Custom Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b70aed42-0084-405b-8e44-6d52b59fa4f3/custom-nike-air-force-1-high-by-you-shoes.png","Nearly 2 decades into a career that's exceeded every lofty expectation, LeBron James has refused to settle for anything less than greatness, even when he was the one setting the standard for generations to come. Now, his latest signature shoe is lighter, low to the ground and turbo-like. It's unlike any design LeBron has donned before—comfortable and supportive, yet low-cut, feathery-fast and created to stay ahead of today's frenzied style of play.",12 995,https://www.nike.com/in/u/custom-nike-air-force-1-high-by-you-shoes-10001372/9773918090
DZ4867-010,Nike Pegasus Turbo Next Nature,Black/Viotech/Black/Summit WhiteStyle,Men's Road Running Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cb4133cc-8375-476d-82f7-024a12c45537/pegasus-turbo-next-nature-road-running-shoes-MSSVMK.png","Step out for your city in retro style. Design details like a forefoot strap and embossed leather nod to '00s street culture for premium throwback appeal. Plus, a custom key-ring tag lets you rep your city, while Nike Air cushioning helps keep you comfortable as you explore new and old areas alike.",13 995,https://www.nike.com/in/t/pegasus-turbo-next-nature-road-running-shoes-MSSVMK/DM3413-003
DR5948-810,Nike Air Max 90 G,Metallic Copper/Metallic CopperStyle,Golf Shoe,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ce4516f3-0b21-4125-814f-3fcc0a39f887/air-max-90-g-golf-shoe-qlD3wL.png","Celebrate the game's biggest competition in a design ignited by the science of connectivity and gravity that the world stage inspires. Featuring a stunning futuristic look made for the feet of the globe's greatest players, these shoes have a Zoom Air unit and flexible NikeSkin at the top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most.",11 495,https://www.nike.com/in/t/air-max-90-g-golf-shoe-qlD3wL/CU9978-012
DD2858-200,Nike Phantom GT2 Academy IC,Trails End Brown/BlackStyle,Indoor Court Football Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/32ab7ce0-240d-47ec-86cd-68fb225f0c69/phantom-gt2-academy-ic-indoor-court-football-shoes-FrdsZG.png",Warning,7 995,https://www.nike.com/in/t/phantom-gt2-academy-ic-indoor-court-football-shoes-FrdsZG/DR5963-810
DV0747-091,Nike Air Force 1 Low Retro,Black/White/Hot Punch/Multi-ColourStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/76c12aad-43cd-4e4f-aeb0-44b45f6f805e/air-force-1-low-retro-shoes-qR1vPt.png","You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about take-offs and landings, with multiple Air units to get you off the ground and Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised—no matter how fast you move.",12 795,https://www.nike.com/in/t/air-force-1-low-retro-shoes-qR1vPt/DZ6755-100
DX2836-001,Air Jordan 6 Retro,Black/Black/Metallic SilverStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1698d474-02df-4123-89c5-8630cdf54b4b/air-jordan-6-retro-shoes-fjwJgW.png","Championship vibes. MJ's 6th signature shoe debuted in '91—the year he earned his first ring—making the AJ6 an instant icon. This fresh take on the series-clinching classic has a sleek upper made from synthetic leather. Metallic accents add extra off-court flair, making these kicks your outfit MVPs.",18 395,https://www.nike.com/in/t/air-jordan-6-retro-shoes-fjwJgW/DX2836-001
DR5961-810,Nike Phantom GT2 Club MG,Metallic Copper/Metallic CopperStyle,Multi-Ground Football Boots,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/85e305c3-9e40-42ca-b939-8912e15660ee/phantom-gt2-club-mg-multi-ground-football-boots-b2Cs1m.png","Celebrate the game's biggest competition in a design ignited by the science of connectivity and gravity that the world stage inspires. Featuring a stunning futuristic look made for the globe's greatest players, these boots have an updated design and patterning to help you place your shots with pinpoint accuracy. Off-centre lacing provides a clean strike zone to help you dribble, pass and score with precision.",4 995,https://www.nike.com/in/t/phantom-gt2-club-mg-multi-ground-football-boots-b2Cs1m/DR5968-810
DH4120-161,Nike Air Huarache,White/White/Metallic Silver/Varsity RedStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6acf1ca4-b535-4f5f-a2e6-50c7fad467a2/air-huarache-shoes-fg69qQ.png","Michael Jordan's game-winning classic returns—and this time, it's built for golf. The AJ12 Low gears up for the course with a springy full-length Zoom Air unit, plus a hybrid outsole with integrated traction and 7 removable spikes. Sunrise-inspired stitch lines on the upper recall the original '96 design and the biggest moments in that season's title run (remember MJ's buzzer beater in Game 1?). With legendary looks and all-star features, there's nothing stopping you from hitting the back 9. Time to get swinging.",10 295,https://www.nike.com/in/t/air-huarache-shoes-fg69qQ/DD1068-110
DR0156-800,Nike Vista,Kumquat/Dark Driftwood/Light BoneStyle,Men's Sandals,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7c22093a-7565-4e6e-a7d8-4f6c010a7319/vista-sandals-1rGmxQ.png","Created for the hardwood but taken to the streets, this '80s b-ball icon returns with classic details and throwback hoops flair. Supple suede overlays help the Nike Dunk channel vintage style while boldly patterned Swoosh logos add a wild touch. Plus, the padded, low-cut collar lets you take your game anywhere in comfort.",4 195,https://www.nike.com/in/t/vista-sandals-1rGmxQ/DJ6605-004
DJ6130-300,Nike Zoom Mercurial Vapor 15 Academy TF,Enamel Green/Enamel Green/White/WhiteStyle,Turf Football Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5f99a6ba-680e-4f53-83dd-e785bcfd21e5/zoom-mercurial-vapor-15-academy-tf-football-shoes-h1Fm9N.png",Light. Effortless. On point. The Nyjah 3 delivers the next iteration of the skate shoe that's as extraordinary as Nyjah. Zoom Air technology in the heel pairs with a honeycomb outsole that's grippy yet featherlight.,7 995,https://www.nike.com/in/t/zoom-mercurial-vapor-15-academy-tf-football-shoes-h1Fm9N/DR5949-810
DV6206-183,Nike Phantom GT2 Academy TF,Sail/Chlorophyll/Coconut Milk/Safety OrangeStyle,Turf Football Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/38226003-1b21-4ff3-b898-c27bb2add9f2/phantom-gt2-academy-tf-football-shoes-bT8dz0.png","Spread the love. Tell the stories. Step into greatness. Teaming up with Filipino basketball collective, Titan, this timeless take on the AJ2 bridges past, present and future. With an unquestionable passion for the game, designer Chi Loyzaga-Gibbs sets the stage with an honorary look that's rooted to the beloved 1954 Filipino national team. Premium suede, richly textured corduroy and crisp leather are combined with a speckled midsole, while original artwork connects you to the hoops heartbeat no matter where you are.",7 995,https://www.nike.com/in/t/phantom-gt2-academy-tf-football-shoes-bT8dz0/DR5965-810
DR5947-810,KD Trey 5 X EP,Metallic Copper/Metallic CopperStyle,Basketball Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7632f9ba-9884-4c31-a5c7-d0db450dffc0/kd-trey-5-ep-basketball-shoes-mkllTG.png","Celebrate the game's biggest competition in a design ignited by the science of connectivity and gravity that the world stage inspires. Featuring a stunning futuristic look made for the feet of the globe's greatest players, these shoes have a Zoom Air unit and flexible NikeSkin up top for exceptional touch so you can dominate in the waning minutes of a match—when it matters most.",8 495,https://www.nike.com/in/t/kd-trey-5-ep-basketball-shoes-mkllTG/DJ7554-012
CU4111-103,Nike Renew Run 3,White/Volt/Racer Blue/BlackStyle,Men's Road Running Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/281fb0d0-9a65-4718-81a5-b9d08afb0a39/renew-run-3-road-running-shoes-395S7c.png","Continue the next evolution of speed with a racing shoe made to help you chase new goals and records. It helps improve comfort and breathability with a redesigned upper. From a 10K to a marathon, this model, like the previous version, has the responsive cushioning and secure support to push you towards your personal best.",7 495,https://www.nike.com/in/t/renew-run-3-road-running-shoes-395S7c/DC9413-402
DX1629-100,Nike Blazer Low '77 EMB,White/Racer Blue/Bright Crimson/BlackStyle,Men's Shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d9365e8d-5367-4bbf-bf14-42c953820a1c/blazer-low-77-emb-shoes-vVHht1.png","Stay on your feet, so that you can take on today's quick 2-miler and bounce back in time for a longer run tomorrow. A wider forefoot and higher foam stacks add super-soft cushioning, giving you the peace of mind to pound the pavement every day. The springy responsiveness adds an element of speed to our most tested shoe to help you go faster and farther. It's a radiant, empowering twist on a running essential, inspired by our human pacers who inspire through connection.",8 595,https://www.nike.com/in/t/blazer-low-77-emb-shoes-vVHht1/DQ7670-200
